snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,contractSymbol,lastTradeDate,r,q,roe,moneyness,change,percentChange,contractSize,currency,moneyness_bucket,low_premium_flag
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,139.0,-2.5220350990584426e-111,0.01,0.0,0.01,3.0,838.0,1.2500037499999999,False,NVDA260218P00139000,2026-02-17 16:00:39+00:00,0.045,0.0,0.5183775146886542,0.751473206912874,-0.01,-50.0,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,140.0,-6.37463762324989e-106,0.02,0.0,0.01,184.0,982.0,1.2500037499999999,False,NVDA260218P00140000,2026-02-13 20:49:56+00:00,0.045,0.0,1.0367550293773085,0.7568794889769954,0.0,0.0,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,141.0,-8.378910809111451e-106,0.02,0.0,0.01,174.0,330.0,1.21875390625,False,NVDA260218P00141000,2026-02-13 20:35:01+00:00,0.045,0.0,1.0367550293773085,0.7622857710411168,0.0,0.0,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,142.0,-1.0201344725585006e-105,0.02,0.0,0.01,2.0,80.0,1.1875040625,False,NVDA260218P00142000,2026-02-17 14:31:12+00:00,0.045,0.0,1.0367550293773085,0.7676920531052382,0.0,0.0,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,143.0,-1.144938871515746e-105,0.01,0.0,0.01,100.0,183.0,1.15625421875,False,NVDA260218P00143000,2026-02-17 14:31:11+00:00,0.045,0.0,0.5183775146886542,0.7730983351693596,-0.02,-66.66667,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,144.0,-1.1781918791902286e-105,0.01,0.0,0.01,132.0,629.0,1.125004375,False,NVDA260218P00144000,2026-02-17 15:15:32+00:00,0.045,0.0,0.5183775146886542,0.778504617233481,-0.02,-66.66667,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,145.0,-1.1048670789271415e-105,0.01,0.0,0.01,4449.0,592.0,1.09375453125,False,NVDA260218P00145000,2026-02-17 15:03:18+00:00,0.045,0.0,0.5183775146886542,0.7839108992976024,-0.02,-66.66667,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,146.0,-9.377069193329332e-106,0.01,0.0,0.01,52.0,913.0,1.0625046875000002,False,NVDA260218P00146000,2026-02-17 18:27:05+00:00,0.045,0.0,0.5183775146886542,0.7893171813617238,-0.02,-66.66667,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,147.0,-7.146383496851798e-106,0.01,0.0,0.01,92.0,454.0,1.0312548437500002,False,NVDA260218P00147000,2026-02-17 18:12:16+00:00,0.045,0.0,0.5183775146886542,0.7947234634258452,-0.02,-66.66667,REGULAR,USD,Deep OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,put,2026-02-18,0.00010429237208269913,148.0,-4.8472659859520975e-106,0.01,0.0,0.01,2111.0,1060.0,1.000005,False,NVDA260218P00148000,2026-02-17 18:12:08+00:00,0.045,0.0,0.5183775146886542,0.8001297454899666,-0.02,-66.66667,REGULAR,USD,OTM,True
